d,quantity,info
760,0.25 cup,pepitas
761,0.5 cup,red onion
762,1.0 servings,roasted red pepper
763,2.0 cups,salsa verde
764,0.25 teaspoon,smoked paprika
765,0.25 cup,water
766,1.5 cups,zucchini
767,0.333333333333 cup,carrot juice
768,2.0 tsps,fresh ginger
769,2.0 tsps,low sodium soy sauce
770,2.0 Tbsps,mirin
771,2.0 Tbsps,orange juice
772,0.125 tsp,red pepper flakes
773,1.0 Tbsp,safflower oil
774,1.0 servings,scallion
775,0.25 tsp,sesame oil
776,1.0 Tbsp,sesame seeds
777,3.0 Tbsps,sesame seeds
778,1.0 Tbsp,white distilled vinegar
779,2.0 tsps,white miso
780,1.0 lb,yellowfin tuna
781,15.0 oz,canned black beans
782,2.0 tsp,chili powder
783,0.25 cup,cream
784,0.5 lb,extra lean ground beef
785,4.0 10-inch,flour tortillas
786,1.0 cup,romaine lettuce
787,0.5 cup,salsa
788,0.666666666667 cup,sharp cheddar cheese
789,1.0 servings,tomato
790,0.5 cup,bread
791,1.0 servings,egg
792,500.0 ml,milk
793,1.0 serving,sugar
794,4.0 drops,vanilla essence
795,8.0 oz,cauliflower florets
796,1.0 Tbs,dijon mustard
797,2.0 Tbs,fresh parsley
798,1.0 tsp,garlic
799,3.0 Tbs,lemon juice
800,1.0 tsp,olive oil
801,0.25 cup,parmesan cheese
802,1.0 servings,red bell pepper
803,250.0 ml,balsamic vinegar
804,1.0 servings,bay leaf
805,2.0 kg,beef
806,300.0 ml,beef stock
807,3.0 servings,carrots
808,1.0 tbsp,cornflour
809,3.0 servings,garlic cloves
810,1.0 servings,onion
811,5.0 servings,thyme sprigs
812,1.0 tsp,balsamic vinegar
813,1.75 lb,blackberries
814,0.333333333333 cup,brown sugar
815,3.0 Tbs,canola oil
816,16.0 Tbs,flour
817,5.0 Tbs,maple syrup
818,0.666666666667 cup,pecans
819,0.666666666667 cup,rolled oats
820,0.25 tsp,salt
821,3.0 Tbs,sugar
822,6.0 slicesslices,bacon
823,6.0 servings,burger buns
824,0.25 cup,canned coconut milk
825,6.0 slices,cheddar cheese
826,1.0 teaspoon,chili powder
827,1.0 servings,chipotle chile
828,0.25 cup,fresh cilantro
829,2.0 tablespoons,greek yogurt
830,6.0 servings,green onions
831,0.5 pound,ground chorizo
832,1.0 servings,guacamole
833,1.0 pound,lean ground beef
834,1.0 tablespoon,lime juice
835,0.25 teaspoon,pepper
836,0.5 servings,pepper
837,1.0 cup,salsa
838,5.0 servings,salt and pepper
839,1.25 cups,sharp cheddar cheese
840,0.25 teaspoon,smoked paprika
841,1.0 pound,tater tots

